序号,提交答卷时间,所用时间,来源,来源详情,来自IP,Your Staff ID 员工号:,How is your physical condition today (今天身体感觉如何)？,Your Work Status Today 您今天的工作状态：,Your working hours today 您今天的工作小时数,Your Plan for Tomorrow 您明天的工作计划：,Your planned working hours tomorrow 您明天计划的工作小时数,"Anything(feeling, suggestion, difficulties) you would like say or draw attention to leadership team today (Optional) 你今天希望跟管理层沟通的内容（情绪、建议、遇到的困难等等，可以是任何内容），可选填"
1351,2020/2/10 9:02:57,19秒,微信,N/A,1.188.78.239(黑龙江-佳木斯),45057419,Feeling well and healthy,No working - Weekend or public holiday,(跳过),No working - Weekend or public holiday,(跳过),(空)
1352,2020/2/10 9:03:07,21秒,微信,N/A,140.243.248.133(福建-福州),44108136,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1353,2020/2/10 9:03:21,36秒,微信,N/A,113.68.102.39(广东-广州),43877251,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1354,2020/2/10 9:03:34,43秒,微信,N/A,113.64.99.4(广东-梅州),43228436,Feeling well and healthy,Work from home,8,Work from home,8,无，正常
1355,2020/2/10 9:04:12,32秒,微信,N/A,223.104.63.89(广东-未知),43525318,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1356,2020/2/10 9:04:14,29秒,微信,N/A,116.21.1.210(广东-广州),44125886,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1357,2020/2/10 9:04:20,30秒,微信,N/A,59.41.206.1(广东-广州),43431908,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1358,2020/2/10 9:04:28,21秒,微信,N/A,119.32.73.196(广东-广州),45064974,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1359,2020/2/10 9:04:44,21秒,微信,N/A,113.109.38.167(广东-广州),43188169,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1360,2020/2/10 9:04:49,30秒,微信,N/A,42.2.124.38(香港-未知),43872298,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1361,2020/2/10 9:04:49,18秒,微信,N/A,113.66.180.168(广东-广州),45060966,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1362,2020/2/10 9:05:00,17秒,微信,N/A,117.136.41.54(广东-广州),43657984,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1363,2020/2/10 9:06:26,30秒,微信,N/A,183.63.97.138(广东-广州),43165040,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1364,2020/2/10 9:06:27,69秒,微信,N/A,27.3.74.215(国外-越南),45036976,Feeling well and healthy,Work from home,10.18,Work from home,10.18,(空)
1365,2020/2/10 9:06:32,26秒,微信,N/A,113.214.194.112(浙江-杭州),43925352,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1366,2020/2/10 9:06:33,28秒,微信,N/A,120.229.221.118(广东-揭阳),43884690,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1367,2020/2/10 9:06:46,20秒,微信,N/A,113.109.37.179(广东-广州),43619329,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1368,2020/2/10 9:06:50,48秒,微信,N/A,119.129.115.189(广东-广州),43845168,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1369,2020/2/10 9:07:05,27秒,微信,N/A,103.27.26.39(广东-东莞),44020765,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1370,2020/2/10 9:07:11,22秒,微信,N/A,223.104.63.104(广东-未知),45071071,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1371,2020/2/10 9:07:27,48秒,微信,N/A,113.65.137.42(广东-广州),44122501,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1372,2020/2/10 9:07:30,32秒,微信,N/A,121.32.35.160(广东-广州),43857457,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1373,2020/2/10 9:08:11,22秒,微信,N/A,113.119.31.72(广东-广州),43281397,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1374,2020/2/10 9:08:22,21秒,微信,N/A,113.74.127.129(广东-珠海),45014201,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1375,2020/2/10 9:08:30,41秒,微信,N/A,121.229.166.104(江苏-南京),45065326,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1376,2020/2/10 9:08:41,25秒,微信,N/A,175.168.232.233(辽宁-沈阳),43919523,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1377,2020/2/10 9:09:14,31秒,微信,N/A,223.74.64.85(广东-广州),45013281,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1378,2020/2/10 9:09:49,18秒,微信,N/A,14.25.182.202(广东-广州),43815874,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1379,2020/2/10 9:09:52,18秒,微信,N/A,113.67.11.115(广东-广州),45071568,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1380,2020/2/10 9:10:25,21秒,微信,N/A,120.230.116.195(广东-广州),43988222,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1381,2020/2/10 9:10:40,30秒,微信,N/A,203.160.71.38(香港-未知),44108133,Feeling well and healthy,Work from home,8,Work from home,8,(空)
1382,2020/2/10 9:11:07,28秒,微信,N/A,120.208.186.198(山西-临汾),43799486,Feeling well and healthy,Work from home,8,Work from home,8,(空)
